Brand,Model Name,Core,CPU Manufacturer,Clock Speed,RAM Size,Storage Type,Display Type,Display Size,Graphics Processor,Screen Resolution,OS,Laptop Weight,Special Features,Warranty,Average Battery Life,Price,Description,laptop_feature
Dell,Inspiron,i5,Intel,2.4 GHz,8GB,SSD,LCD,"15.6""",Intel UHD,1920x1080,Windows 10,2.5 kg,Backlit Keyboard,1 year,6 hours,"35,000","The Dell Inspiron is a versatile laptop that combines powerful performance and affordability. It features an Intel Core i5 processor clocked at 2.4 GHz, ensuring basic multitasking and efficient computing. With 8GB of RAM and an SSD, it offers quick data access and ample storage capacity. The laptop sports a vibrant 15.6"" LCD display with a resolution of 1920x1080, delivering crisp visuals and immersive viewing experience. Weighing just 2.5 kg, it is highly portable, making it ideal for on-the-go usage. Additionally, it comes with an Intel UHD GPU for basic graphical performance and a backlit keyboard for enhanced typing convenience. With a one-year warranty and a battery life of up to 6 hours, the Dell Inspiron is a reliable companion for work or entertainment. All these features are packed at an affordable price of 35,000, making it an excellent choice for budget-conscious users.","
 Output: {'GPU intensity': 'low', 'Display quality': 'medium', 'Portability': 'medium','Multitasking': 'low', 'Processing speed': 'medium'}"
MSI,GL65,i7,Intel,2.6 GHz,16GB,HDD+SSD,IPS,"15.6""",NVIDIA GTX,1920x1080,Windows 10,2.3 kg,RGB Keyboard,2 years,4 hours,"55,000","The MSI GL65 is a high-performance laptop designed for gaming enthusiasts. Powered by an Intel Core i7 processor running at 2.6 GHz, it delivers good processing power for smooth gaming and demanding tasks. With 16GB of RAM and a combination of HDD and SSD storage, it offers ample memory and fast data access. The laptop features a 15.6"" IPS display with a resolution of 1920x1080, ensuring vivid colors and wide viewing angles for an immersive gaming experience. Equipped with an NVIDIA GTX graphics card, it provides excellent visual performance and smooth gameplay. Weighing just 2.3 kg, it offers decent portability. The laptop also boasts an RGB keyboard, allowing customizable lighting effects for a personalized gaming setup. With a two-year warranty and a battery life of up to 4 hours, the MSI GL65 offers reliability and durability. Priced at 55,000, it offers excellent value for money for gamers seeking a powerful gaming laptop.","
  Output: {'GPU intensity': 'high', 'Display quality': 'medium', 'Portability': 'medium', 'Multitasking': 'high', 'Processing speed': 'high'}"
HP,EliteBook,i7,Intel,2.8 GHz,16GB,SSD,LED,"14""",Intel UHD,1920x1080,Windows 11,1.5 kg,Fingerprint Sensor,3 years,8 hours,"90,000","The HP EliteBook is a premium laptop designed for professionals who value performance and security. It features an Intel Core i7 processor clocked at 2.8 GHz, providing good speed and power for demanding tasks. With 16GB of RAM and an SSD,  it offers fast and efficient performance along with ample storage capacity. The laptop sports a 14"" LED display with a resolution of 1920x1080, delivering sharp visuals and vibrant colors. It also comes with an Intel UHD GPU for basic graphical performance. Weighing just 1.5 kg, it offers decent portability. The laptop is equipped with a fingerprint sensor for secure and convenient login. With a three-year warranty and a battery life of up to 8 hours, it ensures long-lasting reliability. Priced at 90,000, the HP EliteBook provides top-notch features and durability for professional users.","
  Output: {'GPU intensity': 'low', 'Display quality': 'medium', 'Portability': 'high', 'Multitasking': 'high', 'Processing speed': 'high'}"
Lenovo,IdeaPad,i3,Intel,2.1 GHz,8GB,HDD,TN,"15.6""",Intel UHD,1366x768,Windows 10,2.2 kg,Dolby Audio,1 year,5 hours,"25,000","The Lenovo IdeaPad is a versatile laptop that balances performance and affordability. It features an Intel Core i3 processor running at 2.1 GHz, offering reliable computing power for everyday tasks. With 8GB of RAM and an HDD, it provides adequate memory and storage capacity. The laptop sports a 15.6"" TN display with a resolution of 1366x768, delivering decent visuals for multimedia consumption. It comes with an Intel UHD GPU for basic graphical performance. Weighing 2.2 kg, it is moderately portable. The laptop is equipped with Dolby Audio for immersive sound quality during media playback. With a one-year warranty and a battery life of up to 5 hours, the Lenovo IdeaPad ensures reliable performance. Priced at 25,000, it offers affordability for users on a budget.","
  output: {'GPU intensity': 'low', 'Display quality': 'low', 'Portability': 'medium', 'Multitasking': 'low', 'Processing speed': 'low'}"
ASUS,ZenBook Pro,i9,Intel,3.1 GHz,64GB,SSD,OLED,"15.6""",NVIDIA RTX,3840x2160,Windows 10,1.8 kg,NanoEdge Display,2 years,7 hours,"2,00,000","The ASUS ZenBook Pro is a high-end laptop that offers exceptional performance and a stunning display. It is powered by an Intel Core i9 processor clocked at 3.1 GHz, providing outstanding processing power for demanding tasks and gaming. With a massive 64GB of RAM and an SSD, it offers extensive memory and storage capabilities for multitasking and data-intensive applications. The laptop features a 15.6"" OLED display with a resolution of 3840x2160, delivering incredibly sharp visuals and vibrant colors. Equipped with an NVIDIA RTX graphics card, it offers top-notch graphical performance for gaming and content creation. Weighing just 1.8 kg, it offers decent portability. The laptop features a NanoEdge display with thin bezels for an immersive viewing experience. With a two-year warranty and a battery life of up to 7 hours, the ASUS ZenBook Pro combines reliability and durability. Priced at 200,000, it caters to users seeking uncompromising performance and a premium display.","
  {'GPU intensity': 'high', 'Display quality': 'high', 'Portability': 'high', 'Multitasking': 'high', 'Processing speed': 'high'}"
Acer,Predator,i7,Intel,2.8 GHz,16GB,SSD,IPS,"17.3""",NVIDIA GTX,1920x1080,Windows 10,3.2 kg,Dual Cooling Fans,1 year,5 hours,"80,000","The Acer Predator is a powerhouse laptop designed for gaming enthusiasts. It is equipped with an Intel Core i7 processor clocked at 2.8 GHz, providing good processing power for seamless gaming and demanding tasks. With 16GB of RAM and an SSD,  it offers good multitasking performance along with ample storage capacity. The laptop features a large 17.3"" IPS display with a resolution of 1920x1080, delivering stunning visuals and wide viewing angles. It also comes with an NVIDIA GTX graphics card for impressive gaming performance. Weighing 3.2 kg, it is a bit on the heavier side but still offers portability. The laptop features dual cooling fans for effective heat dissipation during intense gaming sessions. With a one-year warranty and a battery life of up to 5 hours, the Acer Predator ensures reliability and endurance. Priced at 80,000, it provides excellent value for gamers seeking powerful gaming performance.","
  {'GPU intensity': 'high', 'Display quality': 'medium', 'Portability': 'low', 'Multitasking': 'high', 'Processing speed': 'high'}"
Microsoft,Surface Laptop,i5,Intel,1.6 GHz,8GB,SSD,PixelSense,"13.5""",Intel Iris Plus,2256x1504,Windows 11,1.3 kg,Touchscreen Display,1 year,10 hours,"90,000","The Microsoft Surface Laptop is a premium device that combines sleek design with excellent performance. It is powered by an Intel Core i5 processor running at 1.6 GHz, providing efficient computing power for productivity and multimedia tasks. With 8GB of RAM and an SSD, it offers fast and reliable performance along with ample storage capacity. The laptop features a 13.5"" PixelSense touchscreen display with a resolution of 2256x1504, delivering vibrant visuals and precise touch input. It comes with Intel Iris Plus integrated graphics for decent graphics performance. Weighing just 1.3 kg, it is highly portable and suitable for on-the-go usage. The laptop features a touchscreen display, adding versatility to interaction and creativity. With a one-year warranty and an impressive battery life of up to 10 hours, the Microsoft Surface Laptop ensures reliability and all-day productivity. Priced at 90,000, it offers a premium experience for users seeking a stylish and high-performance laptop.","
  Output: {'GPU intensity': 'medium', 'Display quality': 'High', 'Portability': 'High', 'Multitasking': 'low', 'Processing speed': 'medium'}"
Lenovo,ThinkPad,Ryzen 7,AMD,3.0 GHz,16GB,SSD,IPS,"14""",NVIDIA GTX,2560x1440,Linux,1.6 kg,Backlit Keyboard,3 years,6 hours,"60,000","The Lenovo ThinkPad is a powerful laptop designed for professional users. It is equipped with a Ryzen 7 processor from AMD clocked at 3.0 GHz, providing good processing capabilities for demanding tasks. With 16GB of RAM and an SSD,  it offers good multitasking performance along with ample storage capacity. The laptop features a 14"" IPS display with a resolution of 2560x1440, delivering sharp visuals and accurate colors. It also comes with an NVIDIA GTX graphics card for enhanced graphical performance. Weighing just 1.6 kg, it offers decent portability. The laptop features a backlit keyboard for comfortable typing in low-light environments. With a three-year warranty and a battery life of up to 6 hours, the Lenovo ThinkPad offers reliability and durability. Priced at 60,000, it is an excellent choice for professionals seeking powerful performance and a versatile display.","
  output:  {'GPU intensity': 'high','Display quality': 'high','Portability': 'high','Multitasking': 'high','Processing speed': 'high'}"
HP,Pavilion,i5,Intel,2.3 GHz,12GB,HDD,LCD,"15.6""",Intel UHD,1366x768,Windows 10,2.1 kg,B&O Audio,1 year,4 hours,"30,000","The HP Pavilion is a budget-friendly laptop that offers reliable performance for everyday computing tasks. It features an Intel Core i5 processor running at 2.3 GHz, providing decent processing power for productivity and entertainment. With 12GB of RAM and an HDD, it offers decent multitasking capacity. The laptop sports a 15.6"" LCD display with a resolution of 1366x768, offering satisfactory visuals for everyday use. It comes with Intel UHD integrated graphics for basic graphical performance. Weighing 2.1 kg, it strikes a balance between portability and a larger display. The laptop features B&O audio for an enhanced audio experience during multimedia playback. With a one-year warranty and a battery life of up to 4 hours, the HP Pavilion ensures reliable performance for day-to-day tasks. Priced at 30,000, it provides affordability for budget-conscious users seeking","
  Output: {'GPU intensity': 'low', 'Display quality': 'low', 'Portability': 'medium', 'Multitasking': 'medium', 'Processing speed': 'medium'}"
ASUS,ROG Strix G,i7,Intel,2.9 GHz,16GB,SSD,IPS,"17.3""",NVIDIA RTX,1920x1080,Windows 10,2.9 kg,Aura Sync RGB Keyboard,2 years,5 hours,"85,000","The ASUS ROG Strix G is a high-performance gaming laptop designed for gamers seeking power and style. It is equipped with an Intel Core i7 processor clocked at 2.9 GHz, providing exceptional processing power for smooth gaming and demanding tasks. With 16GB of RAM and an SSD,  it offers good multitasking performance along with ample storage capacity. The laptop features a large 17.3"" IPS display with a resolution of 1920x1080, delivering stunning visuals and wide viewing angles. It comes with an NVIDIA RTX graphics card for immersive gaming performance. Weighing 2.9 kg, it is slightly heavier and offers basic portability. The laptop features an Aura Sync RGB keyboard, allowing customizable lighting effects for a personalized gaming setup. With a two-year warranty and a battery life of up to 5 hours, the ASUS ROG Strix G ensures reliability and endurance. Priced at 85,000, it offers excellent value for gamers seeking powerful gaming performance with stylish aesthetics.","
  Output: {'GPU intensity': 'high', 'Display quality': 'medium', 'Portability': 'low', 'Multitasking': 'high', 'Processing speed': 'high'}"
Dell,XPS 15,i9,Intel,2.8 GHz,32GB,SSD,OLED,"15.6""",NVIDIA GTX,3840x2160,Windows 11,1.8 kg,Adobe RGB color gamut,3 years,8 hours,"1,80,000","The Dell XPS 15 is a premium laptop that combines powerful performance with a stunning display. It is powered by an Intel Core i9 processor running at 2.8 GHz, offering exceptional processing power for demanding tasks and content creation. With 32GB of RAM and an SSD, it provides ample memory and fast storage access for multitasking and data-intensive applications. The laptop features a 15.6"" OLED display with a resolution of 3840x2160, delivering incredibly sharp visuals and vibrant colors. Equipped with an NVIDIA GTX graphics card, it offers excellent graphical performance for gaming and content creation. Weighing just 1.8 kg, it offers decent portability. The laptop features an Adobe RGB color gamut, ensuring accurate and vibrant color reproduction for creative professionals. With a three-year warranty and a battery life of up to 8 hours, the Dell XPS 15 combines reliability and durability. Priced at 180,000, it caters to users seeking uncompromising performance and a premium display.","
  Answer: {'GPU intensity': 'high', 'Display quality': 'high', 'Portability': 'high', 'Multitasking': 'high', 'Processing speed': 'high'}"
Lenovo,ThinkPad X1 Carbon,i7,Intel,2.6 GHz,16GB,SSD,IPS,"14""",Intel UHD,2560x1440,Windows 10,1.13 kg,IR Camera for Face Unlock,3 years,12 hours,"1,30,000","The Lenovo ThinkPad X1 Carbon is a sleek and lightweight laptop designed for professionals on the go. It is equipped with an Intel Core i7 processor running at 2.6 GHz, providing strong processing capabilities for multitasking and productivity. With 16GB of RAM and an SSD, it offers good multitasking performance  along with ample storage capacity. The laptop features a 14"" IPS display with a resolution of 2560x1440, delivering sharp visuals and accurate colors. It comes with Intel UHD integrated graphics for basic graphical performance. Weighing just 1.13 kg, it is extremely lightweight and highly portable. The laptop features an IR camera for face unlock, providing convenient and secure login options. With a three-year warranty and an impressive battery life of up to 12 hours, the Lenovo ThinkPad X1 Carbon ensures reliability and long-lasting productivity. Priced at 130,000, it offers top-notch performance and portability for professionals.","
  {'GPU intensity': 'low', 'Display quality': 'high', 'Portability': 'high', 'Multitasking': 'medium', 'Processing speed': 'high'}"
Acer,Swift 3,Ryzen 5,AMD,2.3 GHz,8GB,SSD,IPS,"14""",AMD Radeon,1920x1080,Windows 11,1.2 kg,Fingerprint Reader,1 year,9 hours,"50,000","The Acer Swift 3 is a lightweight and affordable laptop that offers a balance of performance and portability. It features an AMD Ryzen 5 processor clocked at 2.3 GHz, providing reliable processing power for everyday tasks and multimedia consumption. With 8GB of RAM and an SSD, it offers smooth multitasking and fast storage access. The laptop features a 14"" IPS display with a resolution of 1920x1080, delivering crisp visuals and wide viewing angles. It comes with an AMD Radeon integrated graphics card for decent graphical performance. Weighing just 1.2 kg, it is incredibly lightweight and highly portable. The laptop features a fingerprint reader for secure and convenient login options. With a one-year warranty and a battery life of up to 9 hours, the Acer Swift 3 ensures reliability and endurance for everyday use. Priced at 50,000, it offers affordability and portability for users seeking a reliable laptop for their daily computing needs.","
  output: {'GPU intensity': 'medium', 'Display quality': 'medium', 'Portability': 'high', 'Multitasking': 'low', 'Processing speed': 'medium'}"
Apple,MacBook Air,M1,Apple,3.2 GHz,16GB,SSD,Retina,"13.3""",Apple M1,2560x1600,macOS,1.29 kg,Touch ID,3 years,14 hours,"1,00,000","The Apple MacBook Air is a sleek and lightweight laptop that offers excellent performance and a seamless user experience. It is powered by the Apple M1 chip clocked at 3.2 GHz, providing powerful and efficient processing capabilities. With 16GB of RAM and an SSD, it offers good multitasking performance along with ample storage space. The laptop features a 13.3"" Retina display with a resolution of 2560x1600, delivering sharp and vibrant visuals. It is equipped with the Apple M1 integrated graphics, ensuring decent graphics performance. Weighing just 1.29 kg, it is highly portable and suitable for on-the-go usage. The laptop features Touch ID, allowing secure and convenient login options. With a three-year warranty and an impressive battery life of up to 14 hours, the Apple MacBook Air ensures reliability and endurance. Priced at 100,000, it offers a premium experience for users seeking a powerful and lightweight laptop with seamless integration into the macOS ecosystem.","
  Output: {'GPU intensity': 'medium', 'Display quality': 'high','Portability': 'high', 'Multitasking': 'medium', 'Processing speed': 'medium'}"
MSI,Prestige 14,i5,Intel,2.4 GHz,16GB,SSD,IPS,"14""",NVIDIA GTX,1920x1080,Windows 10,1.29 kg,True Color Technology,2 years,8 hours,"70,000","The MSI Prestige 14 is a compact and stylish laptop designed for professionals and content creators. It features an Intel Core i5 processor running at 2.4 GHz, providing reliable performance for multitasking and creative work. With 16GB of RAM and an SSD,it offers good multitasking performance along with ample storage capacity. The laptop features a 14"" IPS display with a resolution of 1920x1080, delivering accurate colors and wide viewing angles. It comes with an NVIDIA GTX graphics card for enhanced graphical performance. Weighing just 1.29 kg, it is highly portable and suitable for on-the-go productivity. The laptop features True Color Technology, ensuring color accuracy for content creation. With a two-year warranty and a battery life of up to 8 hours, the MSI Prestige 14 offers reliability and endurance for professional use. Priced at 70,000, it provides a balance of performance, portability, and affordability.","
  {'GPU intensity': 'high', 'Display quality': 'medium', 'Portability': 'high', 'Multitasking': 'medium', 'Processing speed': 'medium'}"
ASUS,ZenBook 13,i7,Intel,2.8 GHz,16GB,SSD,NanoEdge,"13.3""",Intel Iris Xe,1920x1080,Windows 11,1.11 kg,Military-Grade Durability,2 years,11 hours,"95,000","The ASUS ZenBook 13 is a lightweight and powerful laptop that offers a great computing experience. It is equipped with an Intel Core i7 processor running at 2.8 GHz, providing strong processing power for multitasking and productivity. With 16GB of RAM and an SSD, it offers good multitasking performance  along with ample storage capacity. The laptop features a 13.3"" NanoEdge display with a resolution of 1920x1080, delivering crisp visuals and immersive viewing. It comes with Intel Iris Xe integrated graphics for decent graphics performance. Weighing just 1.11 kg, it is incredibly lightweight and highly portable. The laptop features military-grade durability, ensuring durability and reliability. With a two-year warranty and an impressive battery life of up to 11 hours, the ASUS ZenBook 13 offers long-lasting performance and endurance. Priced at 95,000, it provides a great experience for users seeking a powerful and lightweight laptop.","
  output: {'GPU intensity': 'medium', 'Display quality': 'medium', 'Portability': 'high', 'Multitasking': 'medium', 'Processing speed': 'high'}"
Dell,Precision 5550,Xeon,Intel,2.6 GHz,32GB,SSD,OLED,"15.6""",NVIDIA Quadro,3840x2160,Ubuntu,1.83 kg,Thunderbolt 3 Connectivity,3 years,6 hours,"2,50,000","The Dell Precision 5550 is a high-performance laptop designed for professionals and creators who require powerful processing capabilities. It is equipped with an Intel Xeon processor running at 2.6 GHz, providing exceptional processing power for demanding tasks and content creation. With 32GB of RAM and an SSD, it offers seamless multitasking and ample storage capacity for large projects. The laptop features a 15.6"" OLED display with a resolution of 3840x2160, delivering stunning visuals and accurate color reproduction. It is equipped with an NVIDIA Quadro graphics card, ensuring smooth graphics performance for professional applications. Weighing 1.83 kg, it offers decent portability. The laptop features Thunderbolt 3 connectivity, providing fast data transfer and versatile connectivity options. With a three-year warranty and a battery life of up to 6 hours, the Dell Precision 5550 offers reliability and durability for demanding professional use. Priced at 250,000, it caters to professionals who require uncompromising performance and top-notch display quality.","
  output: {'GPU intensity': 'high', 'Display quality': 'high', 'Portability': 'medium', 'Multitasking': 'high', 'Processing speed': 'high'}"
HP,ENVY x360,i7,Intel,2.8 GHz,16GB,SSD,IPS,"15.6""",Intel Iris Xe,1920x1080,Windows 10,2.05 kg,2-in-1 Convertible Design,1 year,7 hours,"80,000","The HP ENVY x360 is a versatile 2-in-1 convertible laptop that combines performance and flexibility. It features an Intel Core i7 processor running at 2.8 GHz, providing powerful processing capabilities for multitasking and productivity. With 16GB of RAM and an SSD, it offers good multitasking performance  along with ample storage space. The laptop features a 15.6"" IPS display with a resolution of 1920x1080, delivering vibrant visuals and wide viewing angles. It comes with Intel Iris Xe integrated graphics for decent graphics performance. Weighing 2.05 kg, it offers a good balance between portability and functionality. The laptop features a convertible design, allowing you to switch between laptop and tablet modes for enhanced versatility. With a one-year warranty and a battery life of up to 7 hours, the HP ENVY x360 offers reliability and endurance for everyday use. Priced at 80,000, it provides a versatile computing experience at an affordable price point.","
Answer: {'GPU intensity': 'medium', 'Display quality': 'medium', 'Portability': 'medium', 'Multitasking': 'high', 'Processing speed': 'high'}"
Razer,Blade 15,i7,Intel,2.6 GHz,16GB,SSD,IPS,"15.6""",NVIDIA RTX,1920x1080,Windows 11,2.09 kg,Chroma RGB Keyboard,1 year,6 hours,"1,50,000","The Razer Blade 15 is a high-performance gaming laptop that delivers exceptional power and visual excellence. It is powered by an Intel Core i7 processor running at 2.6 GHz, providing robust processing power for demanding gaming and content creation tasks. With 16GB of RAM and an SSD, it offers good multitasking performance  along with ample storage capacity. The laptop features a 15.6"" IPS display with a resolution of 1920x1080, delivering vibrant visuals and immersive gaming experiences. It comes with an NVIDIA RTX graphics card for outstanding graphical performance. Weighing 2.09 kg, it strikes a balance between portability and power. The laptop features a Chroma RGB keyboard, allowing customizable lighting effects for a personalized gaming setup. With a one-year warranty and a battery life of up to 6 hours, the Razer Blade 15 ensures reliability and endurance for gaming enthusiasts. Priced at 150,000, it offers a premium gaming experience with powerful performance and eye-catching aesthetics.","
  Answer: {'GPU intensity': 'high', 'Display quality': 'medium', 'Portability': 'medium', 'Multitasking': 'high', 'Processing speed': 'high'}"
Apple,MacBook Pro,M2,Intel,2.9 GHz,32GB,SSD,Retina,"16""",Apple M2,3072x1920,macOS,2.02 kg,True Tone Display,3 years,10 hours,"2,80,000","The Apple MacBook Pro is a high-end laptop that combines top-tier performance with a stunning display. It is equipped with an M2 processor running at 2.9 GHz, providing exceptional processing power for demanding tasks and content creation. With 32GB of RAM and an SSD, it offers seamless multitasking and fast storage access for large projects. The laptop features a 16"" Retina display with a resolution of 3072x1920, delivering breathtaking visuals and precise color reproduction. It comes with an Apple M2 dedicated graphics, ensuring smooth graphics performance for professional applications. Weighing 2.02 kg, it offers decent portability. The laptop features a True Tone display, adjusting the color temperature to match the ambient lighting for a more natural viewing experience. With a three-year warranty and a battery life of up to 10 hours, the Apple MacBook Pro offers reliability and endurance for professionals. Priced at 280,000, it caters to users who require uncompromising performance and a superior display for their demanding workloads.","
  Output: {'GPU intensity': 'high', 'Display quality': 'high', 'Portability': 'medium', 'Multitasking': 'high', 'Processing speed': 'high'}"
